Items,Description,Real Price,% Discount,Discounted Price,Images
TEXTURED POLO,Polo with front vent. Short sleeves. Rib trim.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/cdde/a600/37354e6f8b75/a0e8d8c1bab3/00526404712-p/00526404712-p.jpg?ts=1700069635696&w=477', 'https://static.zara.net/assets/public/1006/ca34/5308492eba68/65b9bb833be1/00526404712-a1/00526404712-a1.jpg?ts=1700044898016&w=477', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/7f3e/d364/d2a7420b8b10/a4b8b7404895/00526404507-e1/00526404507-e1.jpg?ts=1699950946123&w=151', 'https://static.zara.net/assets/public/d174/fd48/bcc544bcb5ba/49c9f0320d8b/00526404485-e1/00526404485-e1.jpg?ts=1699950942719&w=151', 'https://static.zara.net/assets/public/fab5/759b/18b24e0da055/c35695029a6b/08574402403-e1/08574402403-e1.jpg?ts=1709650192621&w=151', 'https://static.zara.net/assets/public/3878/dd4d/690649629e00/5d1b3d2abdd5/01716410401-e1/01716410401-e1.jpg?ts=1709567826595&w=151']"
FLORENCE 100 ML,"ZARA FLORENCE PIAZZA DELLA SIGNORIA CITY CENTER EDT 100 ML (3.38 FL. OZ).

Gourmand oriental eau de toilette. Fragrance pyramid includes notes of black pepper, strawberry, and Gaiac wood. A fresh, citric, and bright fragrance.",$ 22.90,-30%,$ 15.99,"['https://static.zara.net/assets/public/c026/402c/b10e49c7a8c6/091b0e18a337/20210661999-e1/20210661999-e1.jpg?ts=1710490652687&w=477', 'https://static.zara.net/assets/public/9c4f/e3aa/8ecf420b806a/c4ab40edcd04/20210661999-e2/20210661999-e2.jpg?ts=1710490654224&w=477', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/bae7/42bd/0b1940de9d03/1a9da9985d9b/20210651999-e1/20210651999-e1.jpg?ts=1710490652921&w=151', 'https://static.zara.net/assets/public/a671/793f/5b8345fc9bcd/594f72fbc9b9/20210002999-e1/20210002999-e1.jpg?ts=1710490648537&w=151', 'https://static.zara.net/assets/public/7e76/9f99/698b4657aed9/b2ddfc809fb2/20220273999-e1/20220273999-e1.jpg?ts=1710490687076&w=151', 'https://static.zara.net/assets/public/6aa0/10dd/e7a24043a30d/2cdcb8ed67df/20210005999-e1/20210005999-e1.jpg?ts=1710490671915&w=151', 'https://static.zara.net/assets/public/cd6a/043d/49724581a291/348839049554/20220271999-e1/20220271999-e1.jpg?ts=1710490676358&w=151']"
KNIT POLO,Full cut knit polo shirt. Lapel collar with front button closure. Long sleeves. Rib trim.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/c70e/7b57/3a0643e1944b/167d4e09a445/05536303800-p/05536303800-p.jpg?ts=1707307763214&w=477', 'https://static.zara.net/assets/public/d36b/7113/7d13440aab8e/1ec465fb8bd1/05536303800-a1/05536303800-a1.jpg?ts=1707307764110&w=477', 'https://static.zara.net/assets/public/bb6a/a5d6/39cd4b2d81fe/bbe3df1a9855/20210721999-e1/20210721999-e1.jpg?ts=1709283254221&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/b138/2d2f/a85747ca888c/86f130fd7c56/05536303802-e1/05536303802-e1.jpg?ts=1704211768407&w=151', 'https://static.zara.net/assets/public/85c6/d030/37844a5a869d/a4e8021fd575/03284413401-e1/03284413401-e1.jpg?ts=1707215649748&w=151', 'https://static.zara.net/assets/public/cb5e/21bc/32884d50b424/df70dc7a6b63/03284413800-e1/03284413800-e1.jpg?ts=1707215649891&w=151', 'https://static.zara.net/assets/public/febb/dfed/649f4bf982c9/d7c6cfa766cb/06674405401-e1/06674405401-e1.jpg?ts=1706093254508&w=151']"
MODAL BLEND SHIRT,Relaxed fit shirt made of modal blend fabric. Italian collar and long sleeves with buttoned cuffs. Front button closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/a85d/a550/11244f53a6d8/69cae3fbe65d/04147167251-p/04147167251-p.jpg?ts=1704813090094&w=477', 'https://static.zara.net/assets/public/0098/5224/c29b4857a3f3/b8de7334e796/04147167251-a1/04147167251-a1.jpg?ts=1704813090482&w=477', 'https://static.zara.net/assets/public/b114/b7e9/ad1d42d294aa/c59e4342d1a0/00679402800-e1/00679402800-e1.jpg?ts=1704357340182&w=151', 'https://static.zara.net/assets/public/06b0/410e/af5248e38772/a0f64b1a9944/04127175800-e1/04127175800-e1.jpg?ts=1704788324541&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/a987/78d8/200b466abb02/8eb8cc2323c7/04147167800-e1/04147167800-e1.jpg?ts=1704701413297&w=151', 'https://static.zara.net/assets/public/43b7/57a6/057f4326b696/e378cd9a5663/04147167502-e1/04147167502-e1.jpg?ts=1704725672608&w=151']"
GEOMETRIC JACQUARD SHIRT,Regular fit shirt made of open textured weave fabric. Spread collar and short sleeves. Front button closure.,$ 59.90,-33%,$ 39.99,"['https://static.zara.net/assets/public/abe2/9d3a/604743c0929a/793a7ee80706/02688110712-p/02688110712-p.jpg?ts=1717009640679&w=477', 'https://static.zara.net/assets/public/3e93/a53a/33f74718b97e/568d916169a4/02688110712-a1/02688110712-a1.jpg?ts=1717009645765&w=477', 'https://static.zara.net/assets/public/2c55/b4f9/43ad48878df7/d166eae508e9/04497569745-200-e1/04497569745-200-e1.jpg?ts=1713866099300&w=151', 'https://static.zara.net/assets/public/975d/d0e8/740f4ee7b12a/2549c58c16b5/0210479999_2_9_1/0210479999_2_9_1.jpg?ts=1709224751543&w=151', 'https://static.zara.net/assets/public/b2dc/92a9/19714de8a23d/4c57a7953cf2/02688110800-e1/02688110800-e1.jpg?ts=1717054493618&w=151', 'https://static.zara.net/assets/public/a7bd/4bd0/673340c9a053/7be363ab7410/06085449615-e1/06085449615-e1.jpg?ts=1717428229765&w=151', 'https://static.zara.net/assets/public/05e0/aae0/af0740629922/bb8ad5c3c8c8/06103402505-e1/06103402505-e1.jpg?ts=1710435795455&w=151', 'https://static.zara.net/assets/public/a9bc/320b/f3ef449db966/924bd98b994a/00399204064-e1/00399204064-e1.jpg?ts=1711984927422&w=151']"
TEXTURED SWEATSHIRT,Full cut short sleeve sweatshirt with round neck. Side vents at hem.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/14ef/003d/ae8c40ddae06/292dc0542abc/05039400687-p/05039400687-p.jpg?ts=1702628750896&w=477', 'https://static.zara.net/assets/public/e710/d5c8/a0404d9dbe7d/f59a1da66bed/05039400687-a1/05039400687-a1.jpg?ts=1702628753642&w=477', 'https://static.zara.net/assets/public/10bf/fdbd/220a4e3cb375/00a1c4e043ef/06399405832-e1/06399405832-e1.jpg?ts=1699958560776&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/f2ca/8e21/992441118c39/da153534605f/05039400819-e1/05039400819-e1.jpg?ts=1702563404784&w=151', 'https://static.zara.net/assets/public/48ad/2659/f6ae4a7f9df8/cc962f270320/00761476251-e1/00761476251-e1.jpg?ts=1716469960605&w=151', 'https://static.zara.net/assets/public/2a8d/8cf7/024648ad8bcd/42a63bb37705/00761417700-e1/00761417700-e1.jpg?ts=1703000584376&w=151']"
LINEN - COTTON SHIRT,Relaxed fit shirt made of linen and cotton blend fabric. Band collar with front button closure. Long sleeves with buttoned cuffs.,,,$ 49.90,"['https://static.zara.net/assets/public/05d0/806a/797c4561b5a5/8b6a70e099fd/01618409250-p/01618409250-p.jpg?ts=1709284641977&w=477', 'https://static.zara.net/assets/public/db79/8285/bd5c40f0b20b/58e00058116a/01618409250-a1/01618409250-a1.jpg?ts=1709284643365&w=477', 'https://static.zara.net/assets/public/4fb9/dcdd/3c2c47a2843f/0b7ca4cb5537/02553421811-e1/02553421811-e1.jpg?ts=1707387550038&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/b317/2afd/1ba6430db49f/db3e1e28ef48/01618409537-e1/01618409537-e1.jpg?ts=1709205204671&w=151', 'https://static.zara.net/assets/public/c8be/b2b5/0b514c359c28/0ce82c84633e/01618409409-e1/01618409409-e1.jpg?ts=1709205206438&w=151', 'https://static.zara.net/assets/public/3d6b/ed88/1dbb44b59b1f/6d195c85eefe/01063470250-e1/01063470250-e1.jpg?ts=1711385311401&w=151', 'https://static.zara.net/assets/public/688a/c3d3/ac2b48b28628/afb294f4b909/01618409914-e1/01618409914-e1.jpg?ts=1709205201631&w=151']"
TEXTURED KNIT T-SHIRT,Knit shirt in lyocell and 6% silk fabric. Round neck and short sleeves. Rib trim.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/cd72/4866/278541c898f9/b2fd883d4166/02893441802-p/02893441802-p.jpg?ts=1712825709639&w=477', 'https://static.zara.net/assets/public/d4e8/114a/c72140f89df9/28efdb59665a/02893441802-a1/02893441802-a1.jpg?ts=1712825716460&w=477', 'https://static.zara.net/assets/public/9747/3a42/ec3d47719236/0a668b8b7b20/12399220700-e1/12399220700-e1.jpg?ts=1707410929272&w=151', 'https://static.zara.net/assets/public/ba3c/6ccf/567b4415a57e/e64f6d423c1a/03920417798-e1/03920417798-e1.jpg?ts=1707387690629&w=151', 'https://static.zara.net/assets/public/bb6a/a5d6/39cd4b2d81fe/bbe3df1a9855/20210721999-e1/20210721999-e1.jpg?ts=1709283254221&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/7636/90f5/60c641e1b128/22410a35349a/02893441104-e1/02893441104-e1.jpg?ts=1712758616683&w=151', 'https://static.zara.net/assets/public/3c69/61ef/edb541be80a4/5b3865edc656/05584361916-e1/05584361916-e1.jpg?ts=1711453914920&w=151']"
FAUX SUEDE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Flap patch pockets at chest and welt pockets at hip. Front button closure.,$ 69.90,-42%,$ 39.99,"['https://static.zara.net/assets/public/d869/7b49/6cb442299689/1fcfa6eac9f0/03046506806-p/03046506806-p.jpg?ts=1703668676507&w=477', 'https://static.zara.net/assets/public/2bec/ac7b/83054e9281a3/c9c1905b6def/03046506806-a1/03046506806-a1.jpg?ts=1703668679761&w=477', 'https://static.zara.net/assets/public/56c9/49d0/78374284abee/456f4dad604b/01887470250-e1/01887470250-e1.jpg?ts=1703084878830&w=151', 'https://static.zara.net/assets/public/1111/d55a/f0304f2c8a85/2b415c96ab44/20210733999-e1/20210733999-e1.jpg?ts=1712586245235&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/3412/86a7/59e14e3eaaa0/cdcb9519f897/03046506800-e1/03046506800-e1.jpg?ts=1703244936165&w=151', 'https://static.zara.net/assets/public/f544/d5f2/70974be8b951/fcd9f102acf8/03046506500-e1/03046506500-e1.jpg?ts=1703244937953&w=151', 'https://static.zara.net/assets/public/17ed/4822/ba24435295e1/4bdbe859095c/04054659064-e1/04054659064-e1.jpg?ts=1703244937386&w=151']"
RELAXED FIT CARGO PANTS,Relaxed fit pants. Front pockets and back welt pockets. Flap patch pockets at legs. Front zip and button closure.,$ 59.90,-33%,$ 39.99,"['https://static.zara.net/assets/public/4ac2/231b/9d3a4608a437/9ed3a9f4fcc4/00108313707-p/00108313707-p.jpg?ts=1700816612472&w=477', 'https://static.zara.net/assets/public/fd8d/5609/6b61455b87df/c40e1ab70490/00108313707-a1/00108313707-a1.jpg?ts=1700816613277&w=477', 'https://static.zara.net/assets/public/a0ea/4595/8d764ee587ef/0d3a0db36d84/20210016999-e1/20210016999-e1.jpg?ts=1710490652312&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/7e56/c869/2b5246768e80/b5d12a01882b/4000.jpg?ts=1692269651982&w=151', 'https://static.zara.net/assets/public/d1c5/1317/1acd476cb26d/f616549b0b0b/05520429822-e1/05520429822-e1.jpg?ts=1706093308186&w=151', 'https://static.zara.net/assets/public/a7d6/ef79/55784829a77d/fac6e0668043/04877305800-e1/04877305800-e1.jpg?ts=1708000750999&w=151', 'https://static.zara.net/assets/public/c3ca/bd28/11f141449a13/068f45e84f9b/05862480707-e1/05862480707-e1.jpg?ts=1707751515711&w=151']"
JOGGER-WAIST POPLIN PANTS,Pants made of stretch cotton fabric. Adjustable elastic waistband with inner drawstring. Side pockets and back welt pocket. Washed effect. Elastic cuffed hems. Front zip and snap button closure.,,,$ 45.90,"['https://static.zara.net/assets/public/11dd/1f38/e749462ea64b/2f191a5e6abe/01538400800-p/01538400800-p.jpg?ts=1711101251123&w=477', 'https://static.zara.net/assets/public/e284/1a66/1f5f4a1c82f9/0f86bd9c6e08/01538400800-a1/01538400800-a1.jpg?ts=1711101249608&w=477', 'https://static.zara.net/assets/public/f1f6/7863/70374fb8b878/859cb73b2c5f/01538492802-e1/01538492802-e1.jpg?ts=1709823503347&w=151', 'https://static.zara.net/photos///2024/V/1/2/p/2218/320/202/2/w/151/2218320202_6_1_1.jpg?ts=1703775303408', 'https://static.zara.net/assets/public/909d/f1ff/807042b9b2f5/c4bed04ba50c/4000.jpg?ts=1690803363012&w=151', 'https://static.zara.net/assets/public/c156/a8c2/4c6149b1aead/4d646071fe36/20210624999-e1/20210624999-e1.jpg?ts=1710490697112&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/6cfd/89e9/e24f4591a9b0/91bb4feca704/01538400806-e1/01538400806-e1.jpg?ts=1711010680774&w=151']"
GRAPHIC T-SHIRT X PEPO MORENO,"Relaxed fit T-shirt. Round neck and short sleeves. Contrast graphic prints at front and back.

Special collection @Pepo Moreno x Zara.",$ 39.90,-34%,$ 25.99,"['https://static.zara.net/assets/public/1ece/520f/2c8e40689625/17b19256238a/00722427822-p/00722427822-p.jpg?ts=1710930645144&w=477', 'https://static.zara.net/assets/public/e018/c32b/bdd248a48255/5540729399b0/00722427822-a1/00722427822-a1.jpg?ts=1710930644425&w=477', 'https://static.zara.net/assets/public/d28a/1f6c/ac744616b839/b23bef287b03/12095320107-e1/12095320107-e1.jpg?ts=1705579405190&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/d223/802c/771042c8ab40/04f93ebbb9e4/00722428612-e1/00722428612-e1.jpg?ts=1710758052513&w=151', 'https://static.zara.net/assets/public/8d72/3be9/917d4b1cbf1d/96121114e0f6/03992464251-e1/03992464251-e1.jpg?ts=1711536847198&w=151', 'https://static.zara.net/assets/public/2c5f/245a/dca742b0a39e/bd76b9643996/06224476650-e1/06224476650-e1.jpg?ts=1712590132070&w=151']"
FAUX SUEDE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Flap patch pockets at chest and welt pockets at hip. Front button closure.,$ 69.90,-42%,$ 39.99,"['https://static.zara.net/assets/public/d869/7b49/6cb442299689/1fcfa6eac9f0/03046506806-p/03046506806-p.jpg?ts=1703668676507&w=477', 'https://static.zara.net/assets/public/2bec/ac7b/83054e9281a3/c9c1905b6def/03046506806-a1/03046506806-a1.jpg?ts=1703668679761&w=477', 'https://static.zara.net/assets/public/56c9/49d0/78374284abee/456f4dad604b/01887470250-e1/01887470250-e1.jpg?ts=1703084878830&w=151', 'https://static.zara.net/assets/public/1111/d55a/f0304f2c8a85/2b415c96ab44/20210733999-e1/20210733999-e1.jpg?ts=1712586245235&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/3412/86a7/59e14e3eaaa0/cdcb9519f897/03046506800-e1/03046506800-e1.jpg?ts=1703244936165&w=151', 'https://static.zara.net/assets/public/f544/d5f2/70974be8b951/fcd9f102acf8/03046506500-e1/03046506500-e1.jpg?ts=1703244937953&w=151', 'https://static.zara.net/assets/public/17ed/4822/ba24435295e1/4bdbe859095c/04054659064-e1/04054659064-e1.jpg?ts=1703244937386&w=151']"
ELASTIC WAISTBAND CHINOS,Slim fit pants. Elastic waist. Front pockets and back welt pockets. Front zip and button closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/5559/c600/ac754ef4b42f/ae64f4ee467d/06786425401-p/06786425401-p.jpg?ts=1710435131726&w=477', 'https://static.zara.net/assets/public/b4fc/40e3/69de44358eb1/a6efd345d57e/06786425401-a1/06786425401-a1.jpg?ts=1710435133670&w=477', 'https://static.zara.net/assets/public/6ccc/0c2a/924942579515/643084b9c9ca/01538470427-e1/01538470427-e1.jpg?ts=1708359097610&w=151', 'https://static.zara.net/assets/public/07eb/fdc6/76ee4785be10/1c6fc188a214/02142410101-e1/02142410101-e1.jpg?ts=1707395677760&w=151', 'https://static.zara.net/assets/public/57eb/8c11/99114398935b/a70ff7ffbac8/04087450251-e1/04087450251-e1.jpg?ts=1706531593860&w=151', 'https://static.zara.net/photos///2024/V/1/2/p/2627/320/800/2/w/151/2627320800_6_1_1.jpg?ts=1704213429866', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151']"
DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,$ 139.00,-42%,$ 79.99,"['https://static.zara.net/assets/public/9388/f83e/39f041f1ba64/94995f176fe5/08281477800-a1/08281477800-a1.jpg?ts=1705480848210&w=477', 'https://static.zara.net/assets/public/d8d7/a269/f5144874aaa1/6949b738c1cf/08281477800-a4/08281477800-a4.jpg?ts=1705480852235&w=477', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/0e59/b652/c6914c6992ff/a92aa8da0f17/4000.jpg?ts=1694703369941&w=151', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/151/3046501526_6_1_1.jpg?ts=1703838848736', 'https://static.zara.net/assets/public/e1ef/294c/2b0444d4a4f5/006c994061ba/4000.jpg?ts=1691665779431&w=151', 'https://static.zara.net/assets/public/5d21/72d5/27ce446ebc5b/03e744933a33/03833400800-e1/03833400800-e1.jpg?ts=1704357350922&w=151']"
3 PACK MIXED RIB BOXERS,Pack of three pairs of boxers with elastic waistband.,$ 29.90,-46%,$ 15.99,"['https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=477', 'https://static.zara.net/assets/public/b2d7/3a22/439841ab85d2/620c4e48e3b8/01166406555-e2/01166406555-e2.jpg?ts=1710489940958&w=477', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/9acc/6d59/15914a939316/4a0baacdd658/03090402250-e1/03090402250-e1.jpg?ts=1707295705259&w=151', 'https://static.zara.net/assets/public/7e61/67fe/30e548e8a632/e13351f75218/02888431250-e1/02888431250-e1.jpg?ts=1712651024009&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/6886/54a5/44c34b85b224/b1ac01e51a1c/12221320718-e1/12221320718-e1.jpg?ts=1706023125044&w=151', 'https://static.zara.net/assets/public/ed31/7a64/8b7a411dbd8c/b555e6363f17/04547403800-e1/04547403800-e1.jpg?ts=1701430684079&w=151']"
TEXTURED CHINO PANTS,Slim fit pants made of cotton and linen fabric. Front pockets and back double welt pockets with buttons. Front zip and button closure.,$ 69.90,-34%,$ 45.99,"['https://static.zara.net/assets/public/d3eb/8de9/233b4965b32c/d873eeb2a885/06861755251-p/06861755251-p.jpg?ts=1712241364166&w=477', 'https://static.zara.net/assets/public/848f/85c4/c8a14758b8fd/5a636b11dac9/06861755251-a1/06861755251-a1.jpg?ts=1712241367326&w=477', 'https://static.zara.net/assets/public/bcd3/02bb/8d854f83a1e8/7dba5ab78390/04548768709-e1/04548768709-e1.jpg?ts=1709282874742&w=151', 'https://static.zara.net/assets/public/6b1e/2f6f/419b4349acba/73c393982d60/00526403712-e1/00526403712-e1.jpg?ts=1701355336953&w=151', 'https://static.zara.net/assets/public/f670/83a6/ef6e42f8b6c9/385f74cb41aa/12496320800-e1/12496320800-e1.jpg?ts=1707468967606&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/39b5/a80e/f72c4fe68bc9/b072d1478c11/06861755400-e1/06861755400-e1.jpg?ts=1712044021198&w=151']"
FLORAL EMBROIDERED T-SHIRT,Relaxed fit T-shirt. Round neck and short sleeves. Front contrast embroidery.,$ 39.90,-34%,$ 25.99,"['https://static.zara.net/assets/public/899e/6855/b9844eae85da/2c8c61a830b7/06224891712-p/06224891712-p.jpg?ts=1717594349327&w=477', 'https://static.zara.net/assets/public/e4a0/82af/f55e4b20bbb6/7f469d3b344f/06224891712-a1/06224891712-a1.jpg?ts=1717594349219&w=477', 'https://static.zara.net/assets/public/87f2/e656/d51e43b3933b/2cc99cf71292/04087428707-e1/04087428707-e1.jpg?ts=1712758763847&w=151', 'https://static.zara.net/assets/public/afc4/d7b2/2035455f8cd7/158661119c83/12749320800-e1/12749320800-e1.jpg?ts=1711019492146&w=151', 'https://static.zara.net/assets/public/975d/d0e8/740f4ee7b12a/2549c58c16b5/0210479999_2_9_1/0210479999_2_9_1.jpg?ts=1709224751543&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/7e61/67fe/30e548e8a632/e13351f75218/02888431250-e1/02888431250-e1.jpg?ts=1712651024009&w=151', 'https://static.zara.net/assets/public/48ad/2659/f6ae4a7f9df8/cc962f270320/00761476251-e1/00761476251-e1.jpg?ts=1716469960605&w=151']"
TEXTURED JOGGER WAIST PANTS,Straight fit pants made of cotton cut on the bias. Side pockets and back patch pocket. Washed effect.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/8403/681b/14234ee78190/9377bf91e727/06917410806-p/06917410806-p.jpg?ts=1713367863839&w=477', 'https://static.zara.net/assets/public/24d1/8499/cd304e7f82f6/f0610528cd00/06917410806-a1/06917410806-a1.jpg?ts=1713367864674&w=477', 'https://static.zara.net/assets/public/7c75/e80b/13a643219c84/005ee2b95a3b/03992452700-e1/03992452700-e1.jpg?ts=1710408107426&w=151', 'https://static.zara.net/assets/public/6799/8c65/928847a0868b/654bd296d353/12503320001-e1/12503320001-e1.jpg?ts=1709195981362&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/a388/c63e/f8bb4783a195/cbc12ede059b/06917410518-e1/06917410518-e1.jpg?ts=1711536602594&w=151', 'https://static.zara.net/assets/public/70b6/7f94/133049f98b30/d59d84026ba9/06917410707-e1/06917410707-e1.jpg?ts=1711536600349&w=151']"
SHORT TRENCH COAT,Boxy trench coat. Wide notched lapel collar. Long sleeves with belted cuffs. Welt pockets at hip and interior pocket. Front double breasted button closure.,$ 139.00,-42%,$ 79.99,"['https://static.zara.net/assets/public/88f2/76a0/f80a4cb79a49/d14f040dc3b2/04164918800-p/04164918800-p.jpg?ts=1706111316734&w=477', 'https://static.zara.net/assets/public/12a1/4e09/215b4579966a/afc4ebf9d025/04164918800-a1/04164918800-a1.jpg?ts=1706111317623&w=477', 'https://static.zara.net/assets/public/5b79/ab97/5b464b99baac/40fa1b7890cc/05755407500-e1/05755407500-e1.jpg?ts=1705999689888&w=151', 'https://static.zara.net/assets/public/c334/7262/b6c64a7da540/3b251ea8639b/05584361250-e1/05584361250-e1.jpg?ts=1701795761728&w=151', 'https://static.zara.net/assets/public/68af/73f4/96d84e71b326/6c7ad05f473f/04123813800-e1/04123813800-e1.jpg?ts=1705999693846&w=151', 'https://static.zara.net/assets/public/c846/bc45/021d4bdab0ee/f7518e6ceea7/12010320800-e1/4000.jpg?ts=1698052766318&w=151', 'https://static.zara.net/assets/public/c156/a8c2/4c6149b1aead/4d646071fe36/20210624999-e1/20210624999-e1.jpg?ts=1710490697112&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151']"
