Items,Description,Real Price,% Discount,Discounted Price,Images
BRIKO® PRINT T-SHIRT,"T-shirt made of stretch cotton fabric. Round neck and short sleeves. Contrast Briko® logo print.

Zara Athleticz.",$ 29.90,-33%,$ 19.99,"['https://static.zara.net/assets/public/4f1f/29a9/c33b4e41a886/2783660cb7e1/02888431250-p/02888431250-p.jpg?ts=1712748446087&w=477', 'https://static.zara.net/assets/public/4d41/f950/462e494aac79/0b83b34e28ea/02888431250-a1/02888431250-a1.jpg?ts=1712748460384&w=477', 'https://static.zara.net/assets/public/96b2/0fac/c2d04d89956b/b6f0df3c99e7/00761450701-e1/00761450701-e1.jpg?ts=1708684182201&w=151', 'https://static.zara.net/assets/public/73fa/06f7/7b1c444ba581/860b6fdfc40b/12382220800-e1/12382220800-e1.jpg?ts=1712842747149&w=151', 'https://static.zara.net/assets/public/cb58/22a4/37654715882c/8ec8a30fb5ee/13208320800-e1/13208320800-e1.jpg?ts=1706696598592&w=151', 'https://static.zara.net/assets/public/bb6a/a5d6/39cd4b2d81fe/bbe3df1a9855/20210721999-e1/20210721999-e1.jpg?ts=1709283254221&w=151', 'https://static.zara.net/assets/public/8d72/3be9/917d4b1cbf1d/96121114e0f6/03992464251-e1/03992464251-e1.jpg?ts=1711536847198&w=151', 'https://static.zara.net/assets/public/4a24/0309/92fc444a890d/86ff25e6a24b/02888428707-e1/02888428707-e1.jpg?ts=1712651025010&w=151']"
100% LINEN SHORTS,Regular fit linen shorts. Front pockets and back welt pockets. Front zip and button closure.,,,$ 49.90,"['https://static.zara.net/assets/public/5b3f/bbf4/0a1148bdac8c/b7fd08862a14/09621003250-p/09621003250-p.jpg?ts=1705593038418&w=477', 'https://static.zara.net/assets/public/82eb/d1f6/52ee4c9fbfaf/bf0a780b75b7/09621003250-a1/09621003250-a1.jpg?ts=1705593035199&w=477', 'https://static.zara.net/assets/public/975d/d0e8/740f4ee7b12a/2549c58c16b5/0210479999_2_9_1/0210479999_2_9_1.jpg?ts=1709224751543&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/1111/dc08/d33f4b29a756/abb15225eb2c/04410003406-e1/04410003406-e1.jpg?ts=1709804428036&w=151', 'https://static.zara.net/assets/public/7b5c/499e/107c46ada0bd/d85696049b28/02634601250-e1/02634601250-e1.jpg?ts=1707295704459&w=151', 'https://static.zara.net/assets/public/0307/224a/7a8d4c9b804f/2a65bf8c8869/09621003052-e1/09621003052-e1.jpg?ts=1705588289513&w=151', 'https://static.zara.net/assets/public/e25f/315f/b12a46c4a51f/b298f83d64d2/01063409250-e1/01063409250-e1.jpg?ts=1711385312365&w=151']"
MODAL BLEND SHIRT,Relaxed fit shirt made of modal blend fabric. Italian collar and long sleeves with buttoned cuffs. Front button closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/a85d/a550/11244f53a6d8/69cae3fbe65d/04147167251-p/04147167251-p.jpg?ts=1704813090094&w=477', 'https://static.zara.net/assets/public/0098/5224/c29b4857a3f3/b8de7334e796/04147167251-a1/04147167251-a1.jpg?ts=1704813090482&w=477', 'https://static.zara.net/assets/public/b114/b7e9/ad1d42d294aa/c59e4342d1a0/00679402800-e1/00679402800-e1.jpg?ts=1704357340182&w=151', 'https://static.zara.net/assets/public/06b0/410e/af5248e38772/a0f64b1a9944/04127175800-e1/04127175800-e1.jpg?ts=1704788324541&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/a987/78d8/200b466abb02/8eb8cc2323c7/04147167800-e1/04147167800-e1.jpg?ts=1704701413297&w=151', 'https://static.zara.net/assets/public/43b7/57a6/057f4326b696/e378cd9a5663/04147167502-e1/04147167502-e1.jpg?ts=1704725672608&w=151']"
TEXTURED JOGGER WAIST PANTS,Relaxed fit pants made of cotton. Adjustable elastic drawstring waistband. Side pockets at hip and back welt pockets.,$ 59.90,-33%,$ 39.99,"['https://static.zara.net/assets/public/5fa1/f911/67514443b43b/5347f9944bc0/06917427922-p/06917427922-p.jpg?ts=1710506197536&w=477', 'https://static.zara.net/assets/public/71cc/ebe1/51ad498498ae/a7742e4b6207/06917427922-a1/06917427922-a1.jpg?ts=1710506197190&w=477', 'https://static.zara.net/assets/public/cd32/64b2/5e5e418aab9c/de37df098a22/12765320800-e1/12765320800-e1.jpg?ts=1704447162772&w=151', 'https://static.zara.net/assets/public/1111/d55a/f0304f2c8a85/2b415c96ab44/20210733999-e1/20210733999-e1.jpg?ts=1712586245235&w=151', 'https://static.zara.net/assets/public/0708/e2bd/31da471e9499/8fbe0b57e736/07484401802-e1/07484401802-e1.jpg?ts=1706613310695&w=151', 'https://static.zara.net/assets/public/31da/7b39/cc064580affa/51b1b7913c2e/06917410806-e1/06917410806-e1.jpg?ts=1711536599440&w=151', 'https://static.zara.net/assets/public/a388/c63e/f8bb4783a195/cbc12ede059b/06917410518-e1/06917410518-e1.jpg?ts=1711536602594&w=151', 'https://static.zara.net/assets/public/e92f/c2c8/a38a4bf2bd87/6c5b5f435e25/06103402800-e1/06103402800-e1.jpg?ts=1710435797134&w=151']"
COTTON - LINEN STRIPED SHIRT,Relaxed fit shirt made of cotton and linen blend fabric. Spread collar and short sleeves. Side vents at hem. Front button closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/0b21/1390/89444fc898ac/c3bef468c290/03277401070-p/03277401070-p.jpg?ts=1713452078562&w=477', 'https://static.zara.net/assets/public/1114/d987/ed12418da43c/cf09c4207180/00679402711-e1/00679402711-e1.jpg?ts=1710779231174&w=151', 'https://static.zara.net/assets/public/3b48/0af4/e27f4256a280/bd172bcafebf/04584997707-e1/04584997707-e1.jpg?ts=1712160142554&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/a60d/9a8b/dcb44d95be5d/e8534b22b3a2/03277401084-e1/03277401084-e1.jpg?ts=1715783426844&w=151', 'https://static.zara.net/assets/public/05e0/aae0/af0740629922/bb8ad5c3c8c8/06103402505-e1/06103402505-e1.jpg?ts=1710435795455&w=151']"
LINEN - VISCOSE SHIRT,Regular fit shirt made of linen and viscose fabric. Lapel collar and long sleeves with buttoned cuffs. Front button closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/a0e6/ddda/175c444eabf1/b67e75a83351/03277402071-p/03277402071-p.jpg?ts=1713343674277&w=477', 'https://static.zara.net/assets/public/679d/e9d1/88924453864e/fdb090f83826/02675480505-e1/02675480505-e1.jpg?ts=1713276367067&w=151', 'https://static.zara.net/assets/public/f84f/7912/d72641be9b24/af0cc395aabb/12658320131-e1/12658320131-e1.jpg?ts=1712141113337&w=151', 'https://static.zara.net/assets/public/884d/1765/efe74350928e/049549bacc84/20220240999-e1/20220240999-e1.jpg?ts=1719326409610&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/0170/24a7/011a4633aab5/868d809ac138/03277402250-e1/03277402250-e1.jpg?ts=1714473914030&w=151', 'https://static.zara.net/assets/public/8461/e161/b7b643f88d5d/1828fbf6cb47/02688413400-e1/02688413400-e1.jpg?ts=1708002478301&w=151']"
STRIPED CROCHET SHIRT,Relaxed fit shirt made of open textured fabric. Spread collar and short sleeves. Front button closure.,$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/6b9c/4c64/89fc49dbb822/6706cec57cf8/06085449615-p/06085449615-p.jpg?ts=1717516439641&w=477', 'https://static.zara.net/assets/public/8ec3/2827/1aac44cabcfc/cbb61e73016b/06085449615-a1/06085449615-a1.jpg?ts=1717516440217&w=477', 'https://static.zara.net/assets/public/9660/4692/583f487cac06/2441c8d9889f/04087459712-e1/04087459712-e1.jpg?ts=1711984923414&w=151', 'https://static.zara.net/assets/public/4ff5/6d33/d4404efe929b/ad717b72ded8/01455400427-e1/01455400427-e1.jpg?ts=1708690161592&w=151', 'https://static.zara.net/assets/public/cd32/64b2/5e5e418aab9c/de37df098a22/12765320800-e1/12765320800-e1.jpg?ts=1704447162772&w=151', 'https://static.zara.net/assets/public/884d/1765/efe74350928e/049549bacc84/20220240999-e1/20220240999-e1.jpg?ts=1719326409610&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/e417/a9d3/58834a00a3f0/5d3b5cb81bf0/06085484676-e1/06085484676-e1.jpg?ts=1717425912026&w=151']"
100% LINEN SHIRT,Relaxed fit shirt made of linen fabric. Italian collar and short sleeves. Front button closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/ad96/26b2/a44e4cd1b799/8615a055e624/03090472250-p/03090472250-p.jpg?ts=1712831955294&w=477', 'https://static.zara.net/assets/public/ba46/78f3/a3874ec994bb/e7bf93c9e3b6/03090472250-a1/03090472250-a1.jpg?ts=1712831965724&w=477', 'https://static.zara.net/assets/public/b114/b7e9/ad1d42d294aa/c59e4342d1a0/00679402800-e1/00679402800-e1.jpg?ts=1704357340182&w=151', 'https://static.zara.net/assets/public/cd32/64b2/5e5e418aab9c/de37df098a22/12765320800-e1/12765320800-e1.jpg?ts=1704447162772&w=151', 'https://static.zara.net/assets/public/f15b/b478/4cd5426d8267/ef02ea3e7aef/13340320800-200-e1/13340320800-200-e1.jpg?ts=1708956935683&w=151', 'https://static.zara.net/assets/public/884d/1765/efe74350928e/049549bacc84/20220240999-e1/20220240999-e1.jpg?ts=1719326409610&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/a73e/f765/240d4886aa17/0a963e8c9f24/05536191250-e1/05536191250-e1.jpg?ts=1716303883121&w=151']"
FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,$ 69.90,-42%,$ 39.99,"['https://static.zara.net/assets/public/f140/aaf5/cedf4fb7aa8b/bfc46dfd39c7/1687947015813/1687947015813.jpg?ts=1704328117893&w=477', 'https://static.zara.net/assets/public/0886/1c3a/cd4e414ba8ee/f57806fd92ec/4000.jpg?ts=1693908912513&w=477', 'https://static.zara.net/assets/public/c156/a8c2/4c6149b1aead/4d646071fe36/20210624999-e1/20210624999-e1.jpg?ts=1710490697112&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/f35a/498c/c7664987892e/bf677e3fcbc3/08281667800-e1/08281667800-e1.jpg?ts=1705999685613&w=151', 'https://static.zara.net/assets/public/97c7/2656/f2cb4616a0cf/544691103e37/08281389800-e1/08281389800-e1.jpg?ts=1704457740513&w=151', 'https://static.zara.net/assets/public/6a67/0f09/d59f459c9380/bfa1ec9dd680/08281345800-e1/08281345800-e1.jpg?ts=1704970344195&w=151', 'https://static.zara.net/assets/public/e1ef/294c/2b0444d4a4f5/006c994061ba/4000.jpg?ts=1691665779431&w=151']"
WOOL BLEND SUIT JACKET,Straight fit blazer made with a linen blend fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,$ 159.00,-37%,$ 99.99,"['https://static.zara.net/assets/public/34b5/0bc7/d79c4593a7b4/7eb1156226da/04597491507-p/04597491507-p.jpg?ts=1710340859456&w=477', 'https://static.zara.net/assets/public/e3a3/3760/e91f4c97bfa3/9582ee319d00/04208133802-e1/04208133802-e1.jpg?ts=1704970207702&w=151', 'https://static.zara.net/assets/public/56c9/49d0/78374284abee/456f4dad604b/01887470250-e1/01887470250-e1.jpg?ts=1703084878830&w=151', 'https://static.zara.net/assets/public/e4a8/7dbd/d09a40b995e1/0576966567a9/04598491507-e1/04598491507-e1.jpg?ts=1710350299599&w=151', 'https://static.zara.net/assets/public/a12a/771d/c59949da84c4/ddd251c77490/12406320800-e1/12406320800-e1.jpg?ts=1699616813628&w=151', 'https://static.zara.net/assets/public/2139/cc12/a3a34f9988f4/d52369a483af/20210722999-e1/20210722999-e1.jpg?ts=1709283256970&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151']"
TEXTURED COTTON SHORTS,Shorts made of rustic textured cotton fabric. Adjustable elastic drawstring waistband. Front and back welt pockets.,,,$ 45.90,"['https://static.zara.net/assets/public/5284/4f11/fe384562bd9c/cf3afc4d0db7/07147411800-p/07147411800-p.jpg?ts=1709114714995&w=477', 'https://static.zara.net/assets/public/1e0a/ae9e/a8f6480d8dc9/8103ea266396/07147411800-a1/07147411800-a1.jpg?ts=1709114720901&w=477', 'https://static.zara.net/assets/public/20bc/e96d/aee144f6b7d4/97bf31ecc863/05344303676-e1/05344303676-e1.jpg?ts=1707387493372&w=151', 'https://static.zara.net/assets/public/b7b3/7093/1e9942589360/ed63717e6837/00526450712-e1/00526450712-e1.jpg?ts=1713866378849&w=151', 'https://static.zara.net/assets/public/cd32/64b2/5e5e418aab9c/de37df098a22/12765320800-e1/12765320800-e1.jpg?ts=1704447162772&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/9d8d/bafd/674245ef895b/4ce82d768ffd/07147410251-e1/07147410251-e1.jpg?ts=1709032108767&w=151']"
